,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type
0,2,0,https://pic4.zhimg.com/v2-3d973480a7f30ca440b23b6e3fdeb2cb_is.jpg,https://pic4.zhimg.com/v2-3d973480a7f30ca440b23b6e3fdeb2cb_{size}.jpg,[],1,-1,球鞋,dbe0c4a442740d5be0ec535e243a4a3f,False,False,False,False,张子煜,people,http://www.zhihu.com/api/v4/people/dbe0c4a442740d5be0ec535e243a4a3f,zhang-zi-yu-6-38,people
1,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,30a6b13aa71af6052ec38e83d342d75b,False,False,False,False,星海,people,http://www.zhihu.com/api/v4/people/30a6b13aa71af6052ec38e83d342d75b,xing-hai-28-36,people
2,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,17e9ce0b8df07583f89ea26cf48494bd,False,False,False,False,天地悠悠自然,people,http://www.zhihu.com/api/v4/people/17e9ce0b8df07583f89ea26cf48494bd,tian-di-you-you-zi-ran,people
3,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,d3dac23027319c5ee09f2dc1c133cf25,False,False,False,False,阿妹,people,http://www.zhihu.com/api/v4/people/d3dac23027319c5ee09f2dc1c133cf25,a-mei-44-8,people
4,12,0,https://pic1.zhimg.com/v2-817a4f729f928eef1bb990876721ce8f_is.jpg,https://pic1.zhimg.com/v2-817a4f729f928eef1bb990876721ce8f_{size}.jpg,[],2,-1,十分蠢蛋,95d04f42674ed749b9e2deaab30b8601,False,False,False,False,Something,people,http://www.zhihu.com/api/v4/people/95d04f42674ed749b9e2deaab30b8601,da-si-ya-suo-shang-yizhong-z,people
5,10,0,https://pic4.zhimg.com/v2-fe73b4bded293225b399086d4f7348ed_is.jpg,https://pic4.zhimg.com/v2-fe73b4bded293225b399086d4f7348ed_{size}.jpg,[],4,1,,07bba090080ebce25a80baaf96c486f4,False,False,False,False,最近天气不好,people,http://www.zhihu.com/api/v4/people/07bba090080ebce25a80baaf96c486f4,wan-an-chen-guan-xi,people
6,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,6c36e43f6c6917e1dd24894c4db114ce,False,False,False,False,振阳啊,people,http://www.zhihu.com/api/v4/people/6c36e43f6c6917e1dd24894c4db114ce,zhen-yang-a-18,people
7,33,0,https://pic2.zhimg.com/v2-4ca7056417da89c8c153bf0ec2fbd08b_is.jpg,https://pic2.zhimg.com/v2-4ca7056417da89c8c153bf0ec2fbd08b_{size}.jpg,[],13,1,双花红棍,829e1145d9e7f899046c93cde74f17ac,False,False,False,False,王十方,people,http://www.zhihu.com/api/v4/people/829e1145d9e7f899046c93cde74f17ac,wang-shi-fang-5,people
8,5,0,https://pic2.zhimg.com/v2-a987c867bd244b6af264dc6d76d9d797_is.jpg,https://pic2.zhimg.com/v2-a987c867bd244b6af264dc6d76d9d797_{size}.jpg,[],1,1,喜欢玩策略战棋和模拟类游戏的大学学生，steam名同用户名,936428e77fe992dc8bfd2d44bb6e98ae,False,False,False,False,ckwwcc,people,http://www.zhihu.com/api/v4/people/936428e77fe992dc8bfd2d44bb6e98ae,chen-kai-90-61,people
9,0,0,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,不务正业的广告人,b19fd4c1deffa9ac8ac1978fea59959e,False,False,False,False,一隻檸檬菁,people,http://www.zhihu.com/api/v4/people/b19fd4c1deffa9ac8ac1978fea59959e,yi-zhi-ning-meng-jing-85,people
